app_id,helpful,funny,date,is_recommended,hours,user_id,review_id
975370,0,0,12-12-2022,1,36.3,51580,0
304390,4,0,2/17/2017,,11.5,2586,1
1085660,2,0,11/17/2019,1,336.5,253880,2
703080,0,0,9/23/2022,1,27.4,259432,3
526870,0,0,01-10-2021,1,7.9,23869,4
306130,0,0,10-10-2021,1,8.6,45425,5
238960,0,0,11/25/2017,1,538.8,88282,6
730,0,0,11/30/2021,,157.5,63209,7
255710,0,0,5/21/2021,1,18.7,354512,8
289070,0,0,5/26/2020,1,397.5,454422,9
431960,0,0,10/14/2020,1,30.3,199725,10
1086940,0,0,10-07-2020,1,50,85822,11
1938090,0,0,11/16/2022,1,46.7,161081,12
1286830,2,0,7/26/2020,1,19.3,113279,13
1172620,0,0,11-04-2020,1,89.1,122640,14
306130,0,0,05-12-2021,1,61.1,75422,15
635260,0,0,1/30/2022,1,177,76583,16
1151340,0,0,07-01-2020,1,86.3,124924,17
289070,0,0,5/29/2020,1,244.1,261528,18
392160,3,0,12/26/2018,,320.5,408750,19
570,0,0,03-08-2021,1,850.9,533127,20
1938090,0,0,11/23/2022,1,7.4,664486,21
534380,0,0,10-08-2022,1,40.6,22793,22
518790,0,0,12/31/2022,1,10,271318,23
236850,23,4,3/20/2021,1,5.7,118252,24
1172470,2,0,05-04-2021,1,235.1,375629,25
304390,2,0,3/23/2017,,180.6,397000,26
42700,6,2,10/19/2019,,5.9,433335,27
1091500,0,0,02-01-2021,1,108.8,474485,28
291550,0,0,5/17/2021,,2.7,641971,29
1332010,0,0,11/24/2022,1,8.5,735574,30
629730,0,0,02-10-2021,1,40.3,747452,31
438100,0,0,09-10-2020,1,8.1,912612,32
294100,0,0,2/19/2022,1,367.1,1151457,33
1145360,0,0,3/15/2021,1,36.3,234421,34
431960,0,0,11/13/2020,1,11,246427,35
1794680,0,0,11/23/2022,1,55.8,337740,36
275850,0,0,7/20/2020,1,124.2,461815,37
284160,0,0,1/26/2020,1,197.4,477434,38
244850,0,0,5/29/2014,1,99,500848,39
1222140,0,0,12-02-2022,1,16,709818,40
359550,0,0,11/21/2021,1,166.6,763450,41
1938090,0,0,11/23/2022,1,98.7,903527,42
233860,0,0,12/22/2020,1,23.2,925679,43
252490,0,0,4/22/2020,1,0.4,1148682,44
431960,2,0,12/29/2018,1,119.3,1169883,45
394360,0,0,07-11-2020,,0.3,911433,46
294100,2,0,8/27/2022,1,878,979929,47
1248130,0,0,7/18/2022,1,19.2,1093813,48
218620,2,0,12-06-2015,1,708.6,141761,49
376210,0,0,05-07-2022,1,502.3,216021,50
730,0,0,11/19/2021,1,21.4,461080,51
289070,0,0,2/13/2021,1,84.6,632038,52
526870,0,0,11/27/2020,1,10.7,1288761,53
1229490,0,0,10-09-2022,1,102.7,1335369,54
578080,0,0,2/21/2018,1,893,1389501,55
1248130,0,0,4/23/2022,1,27.2,1601711,56
394360,0,0,07-01-2019,1,224.1,638930,57
602960,0,0,01-05-2022,1,41.9,737481,58
1817190,0,0,12/23/2022,1,39.7,836746,59
381210,0,0,6/14/2022,1,223.4,901543,60
431960,0,0,09-02-2021,1,934.1,1166406,61
275850,0,0,11/25/2022,1,93,1176751,62
1222670,0,0,2/25/2021,1,47.4,1213181,63
1361210,0,0,11/30/2022,1,57.8,1271931,64
252490,0,0,01-03-2022,,53.4,1443719,65
1850570,0,0,12-12-2022,1,1.1,1540121,66
976730,0,0,11/25/2021,,21.1,1637069,67
1172620,0,0,12-11-2021,1,513.7,1638898,68
1332010,0,0,7/23/2022,1,5.9,358168,69
1250410,0,0,8/18/2020,,33.5,531793,70
730,2,0,9/24/2015,1,337.8,623661,71
1419170,3,0,07-12-2021,1,6.4,666837,72
1817070,0,0,8/29/2022,1,33,702534,73
291550,0,0,10-01-2022,1,48.9,726113,74
376210,0,0,03-01-2021,1,114.2,944679,75
218620,0,0,07-06-2020,1,158.1,962009,76
233860,0,0,10-05-2022,1,776.5,980932,77
1789480,0,0,10-05-2022,1,23.4,1095513,78
291550,0,0,9/30/2021,1,17.9,1175038,79
489830,0,0,11/19/2020,1,259,1199958,80
851850,0,0,11/30/2020,1,37.9,1241408,81
1174180,0,0,1/18/2021,1,30,1518638,82
236390,0,0,4/29/2021,1,413.1,1647791,83
255710,0,0,01-07-2022,1,8.9,203746,84
107410,0,0,6/26/2014,1,69.1,391818,85
413150,2,0,07-05-2019,1,58.1,478483,86
1172620,0,0,6/29/2021,1,466.8,560450,87
1174180,0,0,02-05-2022,1,178.4,576857,88
620980,0,0,7/24/2022,1,33,628967,89
1938090,0,0,11-11-2022,1,124.1,1271336,90
1222140,0,0,9/22/2022,1,12,1193378,91
374320,0,0,12-05-2016,1,152.2,1308919,92
346110,0,0,06-11-2021,1,528.7,1324141,93
602960,0,0,11/25/2022,1,95.5,1336022,94
534380,0,0,02-05-2022,1,27.4,1407009,95
107410,0,0,9/28/2014,1,635.4,1509215,96
1250410,0,0,12-09-2020,1,307.2,1583597,97
578080,0,0,11/24/2017,1,44.8,1614318,98
381210,2,0,5/31/2021,,197.3,1794409,99
1174180,0,0,1/24/2022,1,38.9,1966317,100
1174180,0,0,9/21/2020,1,172.9,2078256,101
1817190,0,0,11/24/2022,1,9.9,2274649,102
438100,0,0,08-04-2022,,17,2394932,103
306130,0,0,6/19/2018,1,168.5,2434345,104
4000,0,0,5/26/2022,1,66.6,2469463,105
105600,0,0,7/14/2022,1,153.8,2680373,106
1943950,0,0,12/21/2022,,21,2686477,107
620980,0,0,1/14/2022,1,60.1,2738784,108
1248130,0,0,08-09-2022,1,35.1,2757562,109
1174180,0,0,11/23/2021,1,298,2761347,110
238960,0,0,07-06-2021,1,10.8,2832559,111
438100,2,0,7/25/2022,,534.8,2875001,112
306130,0,0,10/22/2020,1,623.9,2967327,113
397540,0,0,03-09-2021,1,123.1,2975317,114
1599340,0,0,3/17/2022,1,657.7,3041860,115
613100,0,0,07-10-2021,1,137.3,3065188,116
291550,0,0,4/18/2022,1,124.9,3203259,117
960090,2,0,3/20/2021,1,39.2,3473951,118
238960,9,0,8/20/2021,,10.1,3670090,119
1085660,0,0,6/25/2022,1,13.2,3687614,120
107410,0,0,7/14/2015,,119.1,3851355,121
284160,0,0,7/29/2022,1,50.7,4018619,122
730,3,0,8/29/2016,,895.5,4040746,123
1172470,0,0,7/22/2022,,55.4,4171159,124
435150,0,0,06-09-2020,1,858.1,4260271,125
582660,0,0,3/19/2021,1,35.1,4270852,126
1091500,2,0,10/30/2022,1,18.1,4342403,127
518790,0,0,3/30/2021,1,83.3,4428786,128
359550,0,0,12/26/2016,1,743.8,4469817,129
105600,2,0,10-09-2016,1,528.3,4470638,130
271590,0,0,10/14/2022,,3.8,4622710,131
252490,0,0,10-10-2022,1,75.8,4623062,132
431960,0,0,9/28/2021,1,15.9,4749905,133
613100,0,0,11-04-2022,1,112.3,4803422,134
599140,0,0,05-07-2020,1,36.8,4823634,135
252490,0,0,6/27/2019,1,698.9,4943924,136
218620,0,0,04-05-2020,1,58.3,5110504,137
570940,348,39,12-11-2021,,73.3,5136277,138
397540,0,0,7/18/2020,1,86.3,5227423,139
620980,0,0,11/22/2018,1,161.9,5254093,140
39210,0,0,04-09-2021,1,123.1,5261084,141
236850,2,0,07-01-2019,1,612.5,5458897,142
518790,0,0,09-02-2017,1,16.8,5498961,143
107410,0,0,03-08-2020,1,594.6,5557878,144
570,11,3,12-10-2016,,380.7,5693273,145
306130,3,0,11-03-2017,,788.5,5738347,146
271590,0,0,4/14/2015,1,52.1,5773446,147
107410,0,0,6/29/2019,1,898.7,5817561,148
107410,0,0,07-05-2019,1,640.5,5853461,149
1222670,0,0,4/23/2021,1,45.7,5931020,150
1196590,0,0,07-03-2022,1,19,5935019,151
620980,0,0,07-09-2020,1,64.7,5995957,152
394360,0,0,6/28/2019,1,705.8,6037396,153
1063730,2,0,10/16/2021,,219.7,6167051,154
218620,2,0,6/23/2016,1,29.5,6367896,155
368260,0,0,12/13/2022,1,66.4,6574194,156
438100,0,0,12/22/2021,1,955.5,6644419,157
244210,0,0,10-08-2022,1,40,6651828,158
1599340,0,0,5/28/2022,1,91.9,6965470,159
1332010,4,3,7/20/2022,1,3.8,6968058,160
620980,0,0,2/27/2019,1,36.4,7022847,161
394360,0,2,1/21/2018,1,643.1,7075881,162
275850,0,0,06-10-2021,1,602.5,7090732,163
359550,0,0,6/15/2018,1,209.3,7104936,164
105600,0,0,4/23/2016,1,698.4,7177250,165
1091500,0,0,01-03-2021,,61.4,7459076,166
291550,0,0,02-11-2021,1,54,7565906,167
1332010,0,0,7/19/2022,1,5.7,7716904,168
570,0,0,3/17/2018,1,251.9,7844204,169
1938090,0,0,11/28/2022,,17.1,7909145,170
431960,0,0,10-03-2021,1,9.6,8024475,171
261550,0,0,10/25/2021,1,159.1,8064905,172
306130,0,7,12/26/2019,,491.4,8262329,173
1384160,0,0,9/23/2022,,3.7,8392451,174
271590,2,0,11/23/2017,1,893,8394366,175
814380,4,2,6/28/2020,,15,8519367,176
107410,0,0,12-10-2017,1,21.3,8531640,177
250900,0,0,04-09-2018,1,139.8,8558177,178
292030,5,0,04-07-2021,1,145.9,8581786,179
236850,0,0,2/19/2020,1,514.3,8639091,180
230410,0,0,06-05-2018,1,383.7,8680129,181
1817070,2,0,08-12-2022,1,55.2,8769058,182
534380,2,0,2/20/2022,1,151.1,8812363,183
1091500,0,0,9/28/2022,1,28.6,8820597,184
1599340,0,0,2/19/2022,1,60.1,9022231,185
686810,0,0,11/28/2022,1,255,9050475,186
599140,0,0,3/16/2021,1,7.3,9112647,187
250900,0,0,7/21/2021,1,446.9,9345437,188
239030,0,0,1/16/2022,1,8.2,9539828,189
218620,21,0,10/19/2015,,30.7,9610771,190
304390,0,0,2/25/2017,,5,9615749,191
284160,0,0,11/26/2018,1,76.5,9651693,192
289070,0,0,11/27/2020,1,165.7,9656139,193
703080,0,0,07-10-2022,1,544.8,9759213,194
386360,0,0,01-11-2022,1,118.1,9794072,195
1174180,0,0,5/22/2022,1,96.4,9794348,196
264710,0,0,2/13/2022,1,65.9,9836847,197
271590,0,0,5/27/2017,,21.9,9837670,198
1172470,0,0,1/15/2021,,44,9916497,199
346110,2,2,12/19/2020,,134.1,10113034,200
1248130,0,0,11/22/2021,1,138.4,10137104,201
271590,2,0,4/14/2020,1,147.8,10304595,202
304390,4,0,4/25/2021,,42.5,10567745,203
1426210,0,0,4/17/2021,1,50.3,10593326,204
440900,2,2,04-05-2022,,32.1,10633242,205
552990,0,0,02-10-2022,1,36,10965324,206
493340,0,0,11/17/2016,,186.5,11034541,207
1938090,0,0,12/22/2022,,123.2,11131971,208
244850,0,0,2/19/2015,1,540.7,11143713,209
306130,0,0,11/27/2020,1,95.3,11148267,210
1174180,0,0,2/24/2022,1,76,11344029,211
1794680,0,0,2/15/2022,1,36.5,11451916,212
1151340,0,0,2/19/2021,1,26.8,11452779,213
